url,file size,No of out links,Content-type
http://www.keck.usc.edu/education/phd-programs/,150796,124,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/2016-02-17/,150956,100,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/events-manager/includes/images/search-mag.png,371,0,image/png
http://www.keck.usc.edu/category/news/cancer/,157613,99,text/html; charset=UTF-8
http://www.keck.usc.edu/usc-eye-institute-researchers-discover-a-way-to-improve-image-sharpness-for-blind-people-with-retinal-implants/,154815,155,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2014/10/icon-giving1.png,1413,0,image/png
http://www.keck.usc.edu/events-2/tags/,129714,85,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/curriculum/year-iii-iv-continuum/,150550,113,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport09-mar2010.pdf,543579,0,application/pdf
http://www.keck.usc.edu/category/news/radiology/,135572,82,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport19-mar2012.pdf,1795283,0,application/pdf
http://www.keck.usc.edu/events-2/2016-03-01/,150012,98,text/html; charset=UTF-8
http://www.keck.usc.edu/education/student-services/,148592,119,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/anesthesiology/,145535,86,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/curriculum/required-scholarly-project/,147310,113,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/diversity-inclusion/,149193,115,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/12/terrence-town-final.jpg,360835,0,image/jpeg
http://www.keck.usc.edu/events/an-evening-with-karen-cordova/,140174,96,text/html; charset=UTF-8
http://www.keck.usc.edu/2016/01/,157566,98,text/html; charset=UTF-8
http://www.keck.usc.edu/events-2/locations/,128185,69,text/html; charset=UTF-8
http://www.keck.usc.edu/research/about-keck-school-of-medicine-research/clinical-research/,134565,90,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/departments-institutes/basic-science-departments/,144694,98,text/html; charset=UTF-8
http://www.keck.usc.edu/category/recent/,161609,98,text/html; charset=UTF-8
http://www.keck.usc.edu/events/otolaryngology-grand-rounds-2016-03-04/,138227,92,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport03-sep2008.pdf,667638,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport09-mar2010.jpg,39239,0,image/jpeg
http://www.keck.usc.edu/education/phd-programs/programs/,150388,124,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport03-sep2008.jpg,37229,0,image/jpeg
http://www.keck.usc.edu/education/md-program/contact-us/,147334,113,text/html; charset=UTF-8
http://www.keck.usc.edu/keck-school-professors-are-on-the-cutting-edge-of-microsurgical-techniques/,151136,151,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport24-nov2013.jpg,29276,0,image/jpeg
http://www.keck.usc.edu/category/news/surgery/,132531,77,text/html; charset=UTF-8
http://www.keck.usc.edu/events/gene-environment-interaction-in-the-pathogenesis-of-pediatric-nafld/,140090,93,text/html; charset=UTF-8
http://www.keck.usc.edu/news/,146206,90,text/html; charset=UTF-8
http://www.keck.usc.edu/research/grants-funding/,138513,102,text/html; charset=UTF-8
http://www.keck.usc.edu/research/research-training-education/fellowship-opportunities/,136792,90,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/school-overview/,142871,97,text/html; charset=UTF-8
http://www.keck.usc.edu/2015/02/,153060,86,text/html; charset=UTF-8
http://www.keck.usc.edu/web-policy-guidelines-and-governance/,136314,68,text/html; charset=UTF-8
http://keck.usc.edu/en/About/Administrative_Offices/~/media/Images/Offices/Development/Body/callout-gift.png?h=69&w=82,6380,0,image/png
